abstract,Rouge1-F1,Rouge2-F1,RougeL-F1,RougeLSum-F1,METEOR_Final
" molecular therapeutics for treating epidermal growth factor receptor-(egfr- ) expressing cancers are a specific method for treating cancers compared to general cell loss with standard cytotoxic therapeutics .   
 however , the finding that resistance to such therapy is common in clinical trials now dampens the initial enthusiasm over this targeted treatment .   
 yet an improved molecular understanding of other receptor tyrosine kinases known to be active in cancer has revealed a rich network of cross - talk between receptor pathways with a key finding of common downstream signaling pathways . 
 such cross talk may represent a key mechanism for resistance to egfr - directed therapy .   
 here we review the interplay between egfr and met and the type 1 insulin - like growth factor receptor ( igf-1r ) tyrosine kinases , as well as their contribution to anti - egfr therapeutic resistance in the context of squamous cell cancer of the head and neck , a tumor known to be primarily driven by egfr - related oncogenic signals . ",0.3,0.0604,0.1267,0.26,0.2167
" objectives : to investigate potential mechanisms mediating the neuroprotective effect of thymoquinone ( tq ) on dopaminergic neurons.methods:this study was conducted in the chemistry and biochemistry institute , university of veterinary medicine , vienna , austria between june and august 2013 . 
 primary cultures were prepared from embryonic mouse mesencephala ( ofi / spf ) at gestation day 14 . 
 four sets of cultures were kept untreated , treated with tq on the eighth day in vitro ( div ) for 4 days , treated with 1-methyl-4-phenylpyridinium ( mpp+ ) on the tenth div for 48 hours and co - treated with thymoquinone and mpp+ . on the twelfth div 
 , cultures were subjected to immunohistochemistry against tyrosine hydroxylase and fluorescent staining using lysotracker deep red , 5,5,6,6-tetrachloro-1,1,3,3-tetraethyl benzimidazolylcarbocyanine ( jc-1 ) and 4,6-diamidino-2-phenylindole stains.results:the mpp+ decreased the number of dopaminergic neurons by 40% , and increased the release of lactate dehydrogenase ( ldh ) into the culture medium . 
 the tq significantly rescued dopaminergic neurons and decreased the release of ldh at the concentrations of 0.1 and 1 m . the tq significantly shifted the red fluorescent intensity of the lysotracker deep red , increased the mitochondrial membrane potential as it increased the red : green florescent ratio of jc-1 , and decreased mpp+-induced apoptotic cell death.conclusion:the tq protects dopaminergic neurons in primary mesencephalic culture by enhancing lysosomal degradation that clears damaged mitochondria and inhibits mitochondria - mediated apoptotic cell death . ",0.4954,0.2115,0.2255,0.3882,0.3188
" fracture of the femoral neck continues to be a vexing clinical and therapeutic challenge for the orthopedic surgeon . 
 the fracture has a propensity for non - union and avascular necrosis . 
 it is a challenge for the orthopedic surgeon to decide when to intervene in a case with non - union where the implant continues to be in place . 
 we present a case with persistent clinical and radiological non - union signs where the fracture eventually united after 32  months . 
 the case bolsters the view that a continued conservative regime might entail good results in such situations . ",0.2843,0.0495,0.1471,0.2353,0.229
" granuloma faciale ( gf ) is a chronic condition characterized by red - brown plaques with follicular accentuation present usually on the face . 
 we present a case of 35-year - old female with 5 year history of plaques over cheek and extra facial sites consistent with gf and its response to topical tacrolimus . 
 this case supports previous reports of successful treatment of gf with topical tacrolimus . ",0.4348,0.1868,0.2717,0.3913,0.4745
" we report a case of chronic myelomonocytic leukaemia ( cmmol ) in a 68-year - old man who developed osteomyelitis of the mandible . at the initial visit 
 , he reported uncontrolled gingival bleeding , despite self - administered haemostasis . 
 he complained of severe pain in the socket , despite potent opioid analgesia . 
 after consultation with the internal medicine specialists , we undertook a surgical anti - inflammatory approach that included sequestrectomy with massive blood transfusion . 
 his physical condition was ameliorated after the surgical procedure , and he was discharged from the hospital . 
 however , 3 months later , he died because of cardiac arrest after haemorrhagic shock and cardiovascular failure because his cmmol had developed to an acute blastic crisis . 
 this experience demonstrates that the most important goal in such cases is to alleviate a patient 's discomfort by applying minimally invasive actions to eliminate infection and improve the quality of life without causing deterioration in the cmmol status . ",0.4438,0.2321,0.2426,0.3905,0.375
" bivalirudin has been proposed as the sole anticoagulant in patients under extracorporeal membrane oxygenation ( ecmo ) or cardiopulmonary bypass . 
 owing to the pharmacodynamic properties of bivalirudin , areas of blood stagnation should be carefully avoided in order to limit the risk of thrombosis . 
 the ecmo circuit has no reservoir and is usually devoid of blood stagnation areas . 
 conversely , under some circumstances , intracardiac blood stagnation areas may exist . in this case 
 , there is a potential risk for the spontaneous formation of an intracardiac thrombus . 
 we suggest that , under bivalirudin anticoagulation , a minimal degree of intracardiac blood flow with left heart valve movement is allowed . ",0.4061,0.1463,0.2242,0.3515,0.418
" background : coronary computed tomography angiography ( ccta ) is a frequently performed examination for coronary artery disease . when performed with retrospective gating , there is an opportunity to derive functional parameters of left ventricle utilizing automated software . 
 complementary information , if validated with established standards , will enhance the total value of study.objective:study evaluates the usefulness of fully automated software for the assessment of left ventricular ejection fraction ( lvef ) using 64-slice ccta data and to correlate ct results with echocardiography ( echo ) . 
 role of ct derived lv function is reviewed in the light of emerging technologies and recent developments in multidetector ct ( mdct).materials and methods : a total of 113 patients referred for mdct ccta for evaluation of coronary artery disease . 
 all patients were scanned on 64 slice ge - helical ct scanner and had an echo done within 1 week of the ct scan . retrospectively electrocardiogram ( 
 ecg)-correlated image reconstruction was performed with the reconstruction at 10% r - r interval increment . 
 axial image sets were analyzed with advanced workstation using a program - auto ejection fraction , circulation : ge medical solutions.results:the mean lvef calculated by clinical echo was 58.6  4.5% and by fully automated software based on cta data was 58.9  5.4% . 
 the pearson 's regression analysis showed a large correlation , with a correlation coefficient of 0.503 ( p < 0.001 ) . 
 bland - altman analysis showed a trend towards mdct resulting in slightly higher values for lvef when compared with echo.conclusion:the fully automated software is simple , reliable , and user - friendly , and can provide rapid assessment of lv functional parameters with good reproducibility . 
 despite of good correlation , fewer patients are likely to benefit , in future , from this function due to smaller number of patients undergoing ccta with retrospective gating . ",0.4512,0.1141,0.1812,0.3872,0.2754
" a bioassay - guided fractionation of methanol extract of aristolochia bracteolata whole plant was carried out in order to evaluate its antimicrobial activity and to identify the active compounds in this extract . 
 antibacterial and antifungal activities of methanol extract against gram - positive , gram - negative , and fungal strains were investigated by the agar disk diffusion method . among the strains tested , moraxella catarrhalis and sea urchin - derived bacillus sp . 
 showed the highest sensitivity towards the methanol extract and hence they are used as test organisms for the bioassay - guided fractionation . from this 
 extract , aristolochic acid 1 ( aa-1 ) has been isolated and has showed the greatest antibacterial activity against both standard strain and clinical isolates of moraxella catarrhalis with equal minimum inhibitory concentration ( mic ) and minimum bactericidal concentration ( mbc ) values of 25 and 50  g / ml . modification of the aa-1 to aa-1 methyl ester completely abolished the antibacterial activity of the compound and the piperonylic acid moiety of aa-1 which suggested that the coexistence of phenanthrene ring and free carboxylic acid is essential for aa-1 antibacterial activity . ",0.3658,0.1098,0.152,0.2708,0.2793
" backgroundendometriosis is a disabling disease of reproductive - age women . 
 dysmenorrhea , dyspareunia , and pelvic pain are the main symptoms of endometriosis . 
 its etiology is not clear . 
 endometriosis may have various causes , including vitamin d deficiency , but its effect is controversial.material/methodsin this double - blind clinical trial , we enrolled patients with endometriosis diagnosed and treated by laparoscopy , with scores of at least 3 for of dysmenorrhea and/or pelvic pain at 8 weeks after surgical treatment . 
 they were randomly prescribed vitamin d ( 50 000 iu weekly for 12 weeks ) or placebo . 
 severity of pain in the 2 groups ( placebo and treatment ) was compared by vas test at 24 weeks after surgical treatment.resultsthere were 19 patients in the vitamin d group and 20 in the placebo group . 
 baseline characteristics in the 2 groups were similar . 
 following the treatment with vitamin d or placebo , we did not find significant differences in severity of pelvic pain ( p=0.24 ) and dysmenorrhea ( p=0.45 ) between the 2 groups . 
 mean pelvic pain at 24 weeks after laparoscopy in the vitamin d group was 0.841.74 and in placebo group it was 0.681.70 ( p=0.513 ) . 
 mean dysmenorrhea was 2.102.33 in the vitamin d group and 2.732.84 in the placebo group ( p=0.45).conclusionsafter ablative surgery for endometriosis , vitamin d treatment did not have a significant effect in reducing dysmenorrhea and/or pelvic pain . ",0.3597,0.0877,0.1962,0.2834,0.2027
" objectivethe aim of this study was to compare the correspondence between gap formation and 
 apical microleakage in root canals filled with epoxy resin - based ( ah plus ) 
 combined or not with resinous primer or with a dimethacrylate - based root canal 
 sealer ( epiphany ) . 
 material and methodsthirty - nine lower single - rooted human premolars were filled by the lateral 
 condensation technique ( lc ) and immersed in a 50-wt% aqueous silver nitrate 
 solution at 37c ( 24 h ) . 
 after longitudinal sectioning , epoxy resin 
 replicas were made from the tooth specimens . 
 both the replicas and the specimens 
 were prepared for scanning electron microscopy ( sem ) . 
 the gaps were observed in 
 the replicas . 
 apical microleakage was detected in the specimens by sem / energy 
 dispersive spectroscopy ( sem / eds ) . 
 the data were analyzed statistically using an 
 ordinal logistic regression model and analysis of correspondence ( =0.05 ) . 
 
 resultsepiphany presented more regions containing gaps between dentin and sealer 
 ( p<0.05 ) . 
 there was correspondence between the presence of gaps and 
 microleakage ( p<0.05 ) . 
 microleakage was similar among the root - filling 
 materials ( p>0.05 ) . 
 conclusionsthe resinous primer did not improve the sealing ability of ah plus sealer and the 
 presence of gaps had an effect on apical microleakage for all materials . ",0.4724,0.1741,0.2362,0.4462,0.3544
" permanent neonatal diabetes mellitus refers to diabetes that occurs before the age of 6 months and persists through life . 
 it is a rare disorder affecting one in 0.2 - 0.5 million live births . 
 mutations in the gene kcnj11 , encoding the subunit kir6.2 , and abcc8 , encoding sur1 of the atp - sensitive potassium ( katp ) channel , are the most common causes of permanent neonatal diabetes mellitus . 
 sulfonylureas close the katp channel and increase insulin secretion . kcnj11 and abcc8 mutations have important therapeutic implications because sulfonylurea therapy can be effective in treating patients with mutations in the potassium channel subunits . 
 the mutation type , the presence of neurological features , and the duration of diabetes are known to be the major factors affecting the treatment outcome after switching to sulfonylurea therapy . 
 more than 30 mutations in the kcnj11 gene have been identified . here , 
 we present our experience with a patient carrying a novel p.h186d heterozygous mutation in the kcnj11 gene who was successfully treated with oral sulfonylurea . ",0.4088,0.1467,0.1898,0.3552,0.319
" radiocontrast administration is an important cause of acute renal failure . in this study , 
 compared the plasma creatinine levels with spot urine il-18 levels following radiocontrast administration . 
 twenty patients ( 11 males , 9 females ) underwent radiocontrast diagnostic and therapeutic - enhanced examinations . 
 the rin mehran risk score was low ( 5 ) . 
 the radiocontrast agents used were 623 mg / ml iopromid ( 1.5 ml / kg ) , and 100 ml of 650 mg / ml meglumine diatrizoate as three - way oral and rectal contrast material for abdominal computed tomography ( ct ) scans . 
 serum blood urea nitrogen , creatinine , na , k , cl , ca , p , creatinine clearance , and spot urine il-18 levels were analyzed before and repeated at 24 , 48 , and 72 h after radiocontrast administration . 
 six and 24-h urinary il-18 levels were measured with a human il-18 elisa kit following radiocontrast administration . 
 an increase in plasma creatinine 24 and 48 h following radiocontrast administration was observed compared with precontrast values , but it was not statistically significant ( p=0.052 and p=0.285 , respectively ) . a statistically significant increase in il-18 levels was observed at 6 and 24 h , compared with precontrast values ( p=0.048 and p=0.028 , respectively ) . 
 a tendency for postcontrast 24-h urinary il-18 levels to increase was observed compared with 6 h , but the increase was not statistically significant ( p=0.808 ) . 
 our results show that plasma creatinine starts to increase at 24th hour ; however , spot urine il-18 levels go up at 6th hour following radiocontrast administration implying urine il-18 to be an earlier parameter for kidney injury . ",0.4928,0.2182,0.2464,0.4384,0.2742
" living in biofilms is probably the most common condition for bacteria and fungi and biofilm - related infections account for the majority of bacterial infectious diseases worldwide.among others biofilm - related infections , those associated with implanted biomaterials have an enormous and still largely underestimated impact in orthopaedics and trauma , cardio - surgery and several other surgical disciplines.given the limited efficacy of existing antibiotics in the prevention and treatment of bacterial biofilms , new strategies are needed to protect implants and host tissues , overcoming the striking ability of the microorganisms to adhere on different surfaces and to immediately protect themselves by forming the biofilm matrix.adhesion is a necessary first step in microbial colonization and pathogenesis and provides a potential target for new preventive and treatment approach.among various polymers , tested as antibacterial coatings , hyaluronic acid and some of its composites do offer a well - established long - term safety profile and a proven ability to reduce bacterial adhesion and biofilm formation.aim of the present review is to summarize the available evidence concerning the antiadhesion / antibiofilm activity of hyaluronic acid and some of its derivatives to reduce / prevent bacterial adhesion and biofilm formation in various experimental and clinical settings . ",0.3086,0.0784,0.168,0.1758,0.2298
" 
 background and objective . 
 antimicrobial resistance is now a major challenge to clinicians for treating patients . 
 hence , this short term study was undertaken to detect the incidence of multidrug - resistant ( mdr ) , extensively drug - resistant ( xdr ) , and pandrug - resistant ( pdr ) bacterial isolates in a tertiary care hospital . 
 material and methods . 
 the clinical samples were cultured and bacterial strains were identified in the department of microbiology . 
 the antibiotic susceptibility profile of different bacterial isolates was studied to detect mdr , xdr , and pdr bacteria . 
 results . the antibiotic susceptibility profile of 1060 bacterial strains was studied . 
 393 ( 37.1% ) bacterial strains were mdr , 146 ( 13.8% ) strains were xdr , and no pdr was isolated . 
 all ( 100% ) gram negative bacterial strains were sensitive to colistin whereas all ( 100% ) gram positive bacterial strains were sensitive to vancomycin . 
 conclusion . 
 close monitoring of mdr , xdr , or even pdr must be done by all clinical microbiology laboratories to implement effective measures to reduce the menace of antimicrobial resistance . ",0.451,0.2243,0.2825,0.4146,0.4633
" ureterocele is a common ureteric anomaly detected in pediatric population . 
 ureterocele diagnosis and evaluation need a variety of radiological methods . 
 we report a case of 5-year - old female child sent for 99mtc - diethylene triamine pentaacetic acid scan for evaluation of glomerular filtration rate and excretory function of kidneys in view of right - sided hydroureteronephrosis and pyonephrosis with percutaneous tube in situ . 
 incidental photopenia was noted in the urinary bladder . 
 on ultrasonography of abdomen cause of this photopenia was found to be an intravesical ureterocele . ",0.3538,0.1318,0.2231,0.3154,0.3506
" objectives : the aim of this study was to investigate the impact of asymptomatic vertebral fractures on the quality of life in older women as part of the sao paulo ageing & health study.methods:this study was a cross - sectional study with a random sample of 180 women 65 years of age or older with or without vertebral fractures . 
 the quality of life questionnaire of the european foundation for osteoporosis was administered to all subjects . 
 anthropometric data were obtained by physical examination , and the body mass index was calculated . 
 lateral thoracic and lumbar spine x - ray scans were obtained to identify asymptomatic vertebral fractures using a semi - quantitative method.results:women with asymptomatic vertebral fractures had lower total scores [ 61.4(15.3 ) vs. 67.1(14.2 ) , p  =  0.03 ] and worse physical function domain scores [ 69.5(20.1 ) vs. 77.3(17.1 ) , p  =  0.02 ] for the quality of life questionnaire of the european foundation for osteoporosis compared with women without fractures . 
 the total score of this questionnaire was also worse in women classified as obese than in women classified as overweight or normal . 
 high physical activity was related to a better total score for this questionnaire ( p  =  0.01 ) . likewise , lower physical function scores were observed in women with higher body mass index values ( p<0.05 ) and lower physical activity levels ( p<0.05 ) . 
 generalized linear models with gamma distributions and logarithmic link functions , adjusted for age , showed that lower total scores and physical function domain scores for the quality of life questionnaire of the european foundation for osteoporosis were related to a high body mass index , lower physical activity , and the presence of vertebral fractures ( p<0.05).conclusion : vertebral fractures are associated with decreased quality of life mainly physical functioning in older community - dwelling women regardless of age , body mass index , and physical activity . 
 therefore , the results highlight the importance of preventing and controlling asymptomatic vertebral fractures to reduce their impact on quality of life among older women . ",0.4498,0.1616,0.1915,0.3587,0.2868
" 
 aims . our aim is to compare the adequacy and diagnostic yield of samples obtained by the endometrial explora sampler i - mx120 with endometrial specimens obtained by conventional dilatation and curettage ( d&c ) 
 . methods . a total of 1270 endometrial samples 
 were received in the histopathology laboratories at the king khalid university hospital , riyadh , saudi arabia , between 2007 and 2010 . in the outpatient clinic , 
 the uterine explora model i was used to obtain 996 samples . 
 the remaining 274 samples were obtained by conventional d&c . 
 sample adequacy and the clustering of inadequate specimens according to age groups by the two different techniques were compared and statistically analyzed . results . out of 1270 endometrial samples , 253 ( 19.9% ) were inadequate . 
 the uterine explora was used in 88.5% of these inadequate samples ( 253 samples ) , and the remaining 11.5% were obtained by d&c . 
 the insufficient tissue incidence was higher with the explora ( 17.6% ) than with the d&c ( 2.2% ) and the difference was statistically significant ( p < 0.0001 ) . 
 the ages of the patients , as well as the clinical indications for the procedures , were recorded . conclusion . 
 this retrospective study demonstrated better specimen adequacy when d&c was used compared to the higher rate of sample insufficiency obtained with the explora . ",0.4925,0.1818,0.2261,0.4372,0.3067
" in miocene times a vast wetland existed in western amazonia . 
 whereas the general development of this amazing ecosystem is well established , many questions remain open on sedimentary environments , stratigraphical correlations as well as its palaeogeographical configuration . 
 several outcrops located in a barely studied region around eirunep ( sw amazonas state , brazil ) were investigated to obtain basic sedimentological data . 
 the observed deposits belong to the upper part of the solimes formation and are biostratigraphically dated to the late miocene . 
 vertically as well as laterally highly variable fine - grained clastic successions were recorded . 
 based on the lithofacies assemblages , these sediments represent fluvial deposits , possibly of an anastomosing river system . 
 sand bodies formed within active channels and dominant overbank fines are described ( levees , crevasse splays / channels / deltas , abandoned channels , backswamps , floodplain paleosols ) . 
 lacustrine environments are restricted to local floodplain ponds / lakes . 
 the mollusc and ostracod content as well as very light 18o and 13c values , measured on ostracod valves , refer to exclusively freshwater conditions . based on palaeontological and geological results the existence of a long - lived lake (  lake pebas  ) or 
 any influx of marine waters can be excluded for that region during the late miocene . ",0.3353,0.0872,0.1676,0.2832,0.2246
